Product ID,Product name,File URL,Archive URL,Company name,Product type,"Product carbon footprint (PCF, kg CO2e)",Manufacturing CO2e percentage,Chassis & assembly CO2e percentage,HDD CO2e percentage,SSD CO2e percentage,Power supply unit CO2e percentage,Battery CO2e percentage,Mainboard and other boards CO2e percentage,Display CO2e percentage,Packaging CO2e percentage,ODD CO2e percentage,External components CO2e percentage,Others* CO2e percentage,Manufacturing CO2e,Chassis & assembly CO2e,HDD CO2e,SSD CO2e,Power supply unit CO2e,Battery CO2e,Mainboard and other boards CO2e,Display CO2e,Packaging CO2e,ODD CO2e,External components CO2e,Others* CO2e,Validation notes
44,OMEN by HP 17 Laptop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08390346,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08390346,HP,notebook,376,54,4.9,5.6,28.5,5.7,3.3,28,17.9,1,-,-,0.051,203.04,9.94896,11.37024,57.8664,11.57328,6.70032,56.8512,36.34416,2.0304,-,-,10.35504,Automatic verified (within 99%-101% tolerance).
45,HP Z32 4K UHD Display,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524801,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524801,HP,monitor,595,53,3.4,-,-,0.3,-,59.5,34,1.3,-,-,0.015,315.35,10.7219,-,-,0.94605,-,187.63325,107.219,4.09955,-,-,4.73025,Automatic verified (within 99%-101% tolerance).
46,HP ProBook 450 15.6 inch G10 Notebook PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08554054,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08554054,HP,notebook,168,72,8.6,-,23.9,3.2,3.8,30.2,26.7,0.6,-,-,0.03,120.96,10.40256,-,28.90944,3.87072,4.59648,36.52992,32.29632,0.72576,-,-,3.6288,Automatic verified (within 99%-101% tolerance).
47,HP V241ib 23.8-inch Monitor,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08160019,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08160019,HP,monitor,179,46,6,-,-,8.4,-,7.5,73.4,1.4,-,-,0.033,82.34,4.9404,-,-,6.91656,-,6.1755,60.43756,1.15276,-,-,2.71722,Automatic verified (within 99%-101% tolerance).
48,HP Presence Mini Conferencing PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08395048,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08395048,HP,desktop,188,43,5.8,-,18.2,6.6,0.1,57.3,-,0.7,-,0.053,0.062,80.84,4.68872,-,14.71288,5.33544,0.08084,46.32132,-,0.56588,-,4.28452,5.01208,Automatic verified (within 99%-101% tolerance).
49,HP ZBook Firefly 16 inch G10 Mobile Workstation PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08579843,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08579843,HP,notebook,391,86,4.7,-,33.8,2.2,2.6,45.1,10.1,0.2,-,-,0.012,336.26,15.80422,-,113.65588,7.39772,8.74276,151.65326,33.96226,0.67252,-,-,4.03512,Automatic verified (within 99%-101% tolerance).
50,HP Elite x360 830 13 inch G10 2-in-1 Notebook PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08569102,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08569102,HP,notebook,294,85,2.5,-,43.9,1.4,2.2,37.5,11.1,0.2,-,-,0.012,249.9,6.2475,-,109.7061,3.4986,5.4978,93.7125,27.7389,0.4998,-,-,2.9988,Automatic verified (within 99%-101% tolerance).
51,HP ProDesk 400 G7 Microtower PC (ENERGY STAR),https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524588,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524588,HP,desktop,415,64,7,5,21,4,-,57,-,1,0.01,0.01,0.02,265.6,18.592,13.28,55.776,10.624,-,151.392,-,2.656,2.656,2.656,5.312,Automatic verified (within 99%-101% tolerance).
52,ProBook 640 G5,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525025,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525025,HP,notebook,160,72,4,-,25,3,5,35,25,-,-,-,0.03,115.2,4.608,-,28.8,3.456,5.76,40.32,28.8,-,-,-,3.456,Automatic verified (within 99%-101% tolerance).
53,HP ProOne 240 23.8 inch G9 All-in-One Desktop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08398207,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08398207,HP,desktop,361,45,10.1,-,17.6,2.4,-,25.1,37.3,1.4,-,0.021,0.04,162.45,16.40745,-,28.5912,3.8988,-,40.77495,60.59385,2.2743,-,3.41145,6.498,Automatic verified (within 99%-101% tolerance).
54,HP 4G LTE Laptop 14-eg ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08759522,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08759522,HP,notebook,160,76,4,-,12,3,4,51,24,-,-,-,0.02,121.6,4.864,-,14.592,3.648,4.864,62.016,29.184,-,-,-,2.432,Automatic verified (within 99%-101% tolerance).
55,HP ProBook 445 14 inch G10 Notebook PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08546039,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08546039,HP,notebook,155,73,6.7,-,25.3,3.4,4,31.8,25.2,0.5,-,-,0.031,113.15,7.58105,-,28.62695,3.8471,4.526,35.9817,28.5138,0.56575,-,-,3.50765,Automatic verified (within 99%-101% tolerance).
56,OMEN by HP 16.1 inch Gaming Laptop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08398267,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08398267,HP,notebook,337,72,4.1,-,46.5,5.4,3.2,24,13.7,0.5,-,-,0.026,242.64,9.94824,-,112.8276,13.10256,7.76448,58.2336,33.24168,1.2132,-,-,6.30864,Automatic verified (within 99%-101% tolerance).
57,HP 240 G8 Notebook PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525054,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525054,HP,notebook,225,81,2,-,31,2,2,45,16,-,-,-,0.02,182.25,3.645,-,56.4975,3.645,3.645,82.0125,29.16,-,-,-,3.645,Automatic verified (within 99%-101% tolerance).
58,HP 14 inch 4G LTE Laptop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07779859,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07779859,HP,notebook,197,81,2.8,-,35.6,2,2,38,17.9,0.1,-,-,0.014,159.57,4.46796,-,56.80692,3.1914,3.1914,60.6366,28.56303,0.15957,-,-,2.23398,Automatic verified (within 99%-101% tolerance).
59,HP E27k G5 4K USB-C Monitor,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08504418,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08504418,HP,monitor,429,53,10,-,-,0.3,-,50.6,35.8,1.3,-,-,0.02,227.37,22.737,-,-,0.68211,-,115.04922,81.39846,2.95581,-,-,4.5474,Automatic verified (within 99%-101% tolerance).
60,HP ProBook x360 11 G5 Education Edition (ENERGY STAR),https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08578155,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08578155,HP,notebook,161,80,3.5,-,6,3,4.2,62,18.8,0.2,-,-,0.023,128.8,4.508,-,7.728,3.864,5.4096,79.856,24.2144,0.2576,-,-,2.9624,Automatic verified (within 99%-101% tolerance).
61,HP ProBook Fortis 14 inch G9 Notebook PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08031637,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08031637,HP,notebook,380,90,1.4,-,-,0.9,1.6,86.6,8.6,0.2,-,-,0.007,342,4.788,-,-,3.078,5.472,296.172,29.412,0.684,-,-,2.394,Automatic verified (within 99%-101% tolerance).
62,EliteBook 835 G8,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525179,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525179,HP,notebook,170,67,6,-,25,3,4,35,23,1,-,-,0.03,113.9,6.834,-,28.475,3.417,4.556,39.865,26.197,1.139,-,-,3.417,Automatic verified (within 99%-101% tolerance).
63,HP V24e FHD Monitor,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08738103,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08738103,HP,monitor,215,54,17,-,-,-,-,31,48,2,-,-,0.02,116.1,19.737,-,-,-,-,35.991,55.728,2.322,-,-,2.322,Automatic verified (within 99%-101% tolerance).
64,HP Elite Tower 680 G9 Desktop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08146379,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08146379,HP,desktop,517,47,9,-,23.4,6.5,-,55.1,-,1.1,-,0.015,0.034,242.99,21.8691,-,56.85966,15.79435,-,133.88749,-,2.67289,-,3.64485,8.26166,Automatic verified (within 99%-101% tolerance).
65,HP Z4 G5 Workstation ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08544945,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08544945,HP,desktop,1406,25,12,5.8,31.8,7.6,-,37.6,-,1.2,-,0.008,0.032,351.5,42.18,20.387,111.777,26.714,-,132.164,-,4.218,-,2.812,11.248,"Manually verified (out of [mean - 2 * std_dev, mean + 2 * std_dev])"
66,OMEN by HP 45L Gaming Desktop PC GT22,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07836074,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07836074,HP,desktop,694,48,17.5,-,17.2,10.8,-,41.6,-,2,-,-,0.098,333.12,58.296,-,57.29664,35.97696,-,138.57792,-,6.6624,-,-,32.64576,Manually verified (out of 99%-101% tolerance)
67,EliteBook 830 G8,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525065,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525065,HP,notebook,190,67,6,-,22,3,4,41,21,1,-,-,0.02,127.3,7.638,-,28.006,3.819,5.092,52.193,26.733,1.273,-,-,2.546,Automatic verified (within 99%-101% tolerance).
68,HP ZHAN 66 Pro A G4 All-in-One PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07789643,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07789643,HP,desktop,426,54,13.3,-,24.9,3.3,-,25.7,26.8,1,-,0.018,0.032,230.04,30.59532,-,57.27996,7.59132,-,59.12028,61.65072,2.3004,-,4.14072,7.36128,Automatic verified (within 99%-101% tolerance).
69,HP P24h G5 FHD Monitor,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08367298,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08367298,HP,monitor,206,44,14.5,-,-,6.7,-,9.4,62.4,3.3,-,-,0.038,90.64,13.1428,-,-,6.07288,-,8.52016,56.55936,2.99112,-,-,3.44432,Automatic verified (within 99%-101% tolerance).
70,HP EliteBook 645 14 inch G10 Notebook PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08520664,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08520664,HP,notebook,201,76,5.6,-,18.8,2.5,3,48.7,18.7,0.4,-,-,0.023,152.76,8.55456,-,28.71888,3.819,4.5828,74.39412,28.56612,0.61104,-,-,3.51348,Automatic verified (within 99%-101% tolerance).
71,Victus by HP 15L TG02 Gaming Desktop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08044153,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08044153,HP,desktop,493,43,8.8,-,-,7.5,-,77.1,-,1.2,-,-,0.037,211.99,18.65512,-,-,15.89925,-,163.44429,-,2.54388,-,-,7.84363,Manually verified (out of 99%-101% tolerance)
72,HP Engage One Essential AIO System,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08045560,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08045560,HP,desktop,237,84,16,-,15.5,4.3,-,45.5,15.5,0.5,-,-,0.026,199.08,31.8528,-,30.8574,8.56044,-,90.5814,30.8574,0.9954,-,-,5.17608,Automatic verified (within 99%-101% tolerance).
73,HP 14 Laptop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08216185,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08216185,HP,notebook,206,76,2.5,-,36.2,2.5,2.9,35.7,18.3,0.2,-,-,0.018,156.56,3.914,-,56.67472,3.914,4.54024,55.89192,28.65048,0.31312,-,-,2.81808,Automatic verified (within 99%-101% tolerance).
74,HP 256 G9 Notebook PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08170274,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08170274,HP,notebook,194,73,4.8,6.4,20.4,4.4,3.2,33.9,22.8,0.5,-,-,0.037,141.62,6.79776,9.06368,28.89048,6.23128,4.53184,48.00918,32.28936,0.7081,-,-,5.23994,Automatic verified (within 99%-101% tolerance).
75,EliteBook 830 G7,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525094,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525094,HP,notebook,170,76,6,-,22,3,4,41,21,1,-,-,0.02,129.2,7.752,-,28.424,3.876,5.168,52.972,27.132,1.292,-,-,2.584,Automatic verified (within 99%-101% tolerance).
76,HP 247 G8 Notebook PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08417685,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08417685,HP,notebook,238,77,2.2,-,31,2.1,2.5,44.7,15.6,0.2,-,-,0.016,183.26,4.03172,-,56.8106,3.84846,4.5815,81.91722,28.58856,0.36652,-,-,2.93216,Automatic verified (within 99%-101% tolerance).
77,Victus by HP 15-fb Laptop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08398275,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08398275,HP,notebook,262,79,2.8,-,27.7,5.6,3.5,42.2,15.7,0.3,-,-,0.022,206.98,5.79544,-,57.33346,11.59088,7.2443,87.34556,32.49586,0.62094,-,-,4.55356,Automatic verified (within 99%-101% tolerance).
78,HP E27m G4 QHD USB-C Conferencing Monitor (No Stand),https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08680640,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08680640,HP,monitor,351,46,7.5,-,-,0.5,-,39.3,48.6,1.3,-,-,0.028,161.46,12.1095,-,-,0.8073,-,63.45378,78.46956,2.09898,-,-,4.52088,Automatic verified (within 99%-101% tolerance).
79,HP 205 G8 24 All-in-One PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07780419,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07780419,HP,desktop,426,54,13.3,-,24.9,3.3,-,25.7,26.8,1,-,0.018,0.032,230.04,30.59532,-,57.27996,7.59132,-,59.12028,61.65072,2.3004,-,4.14072,7.36128,Automatic verified (within 99%-101% tolerance).
80,EliteBook 645 G9,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08079479,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08079479,HP,notebook,180,73,9,-,22,3,4,38,22,-,-,-,0.02,131.4,11.826,-,28.908,3.942,5.256,49.932,28.908,-,-,-,2.628,Automatic verified (within 99%-101% tolerance).
81,HP EliteBook 840 14 inch G10 Notebook PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08568444,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08568444,HP,notebook,325,83,5,-,42.3,1.4,2.1,36.6,11,0.2,-,-,0.014,269.75,13.4875,-,114.10425,3.7765,5.66475,98.7285,29.6725,0.5395,-,-,3.7765,Automatic verified (within 99%-101% tolerance).
82,HP Pro x360 Fortis 11 inch G9 Notebook PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08044154,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08044154,HP,notebook,325,89,1.6,-,5.1,1.1,1.9,81.3,8,0.2,-,-,0.008,289.25,4.628,-,14.75175,3.18175,5.49575,235.16025,23.14,0.5785,-,-,2.314,Automatic verified (within 99%-101% tolerance).
83,HP V24ie G5,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08405177,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08405177,HP,monitor,202,43,9.9,-,-,8.2,-,9.5,65.2,3.5,-,-,0.036,86.86,8.59914,-,-,7.12252,-,8.2517,56.63272,3.0401,-,-,3.12696,Automatic verified (within 99%-101% tolerance).
84,EliteBook 845 G9,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08356585,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08356585,HP,notebook,210,73,8,-,19,3,4,45,19,-,-,-,0.02,153.3,12.264,-,29.127,4.599,6.132,68.985,29.127,-,-,-,3.066,Automatic verified (within 99%-101% tolerance).
