Product ID,Product name,File URL,Archive URL,Company name,Product type,"Product carbon footprint (PCF, kg CO2e)",Manufacturing CO2e percentage,Chassis & assembly CO2e percentage,HDD CO2e percentage,SSD CO2e percentage,Power supply unit CO2e percentage,Battery CO2e percentage,Mainboard and other boards CO2e percentage,Display CO2e percentage,Packaging CO2e percentage,ODD CO2e percentage,External components CO2e percentage,Others* CO2e percentage,Manufacturing CO2e,Chassis & assembly CO2e,HDD CO2e,SSD CO2e,Power supply unit CO2e,Battery CO2e,Mainboard and other boards CO2e,Display CO2e,Packaging CO2e,ODD CO2e,External components CO2e,Others* CO2e,Validation notes
397,HP 14 Laptop PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08578243,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08578243,HP,notebook,208,76,2.6,-,36.1,1.9,2.9,35.7,18.2,0.3,-,0.005,0.018,158.08,4.11008,-,57.06688,3.00352,4.58432,56.43456,28.77056,0.47424,-,0.7904,2.84544,Automatic verified (within 99%-101% tolerance).
398,HP ENVY 16inch Laptop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08335180,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08335180,HP,notebook,290,70,5.2,-,28,4.5,3.7,38.1,16.7,0.6,-,-,0.032,203,10.556,-,56.84,9.135,7.511,77.343,33.901,1.218,-,-,6.496,Automatic verified (within 99%-101% tolerance).
399,HP Chromebook 14 G6,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08417688,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08417688,HP,notebook,112,67,6.4,-,5.5,4.3,6.1,35.4,38.1,1,-,-,0.032,75.04,4.80256,-,4.1272,3.22672,4.57744,26.56416,28.59024,0.7504,-,-,2.40128,Automatic verified (within 99%-101% tolerance).
400,HP Z34c G3 Curved USB-C Display,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07970860,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07970860,HP,monitor,508,50,24,-,-,9.8,-,26.4,35.6,1.5,-,-,0.027,254,60.96,-,-,24.892,-,67.056,90.424,3.81,-,-,6.858,Automatic verified (within 99%-101% tolerance).
401,HP 246 G8 Notebook PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525055,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525055,HP,notebook,225,81,2,-,31,2,2,45,16,-,-,-,0.02,182.25,3.645,-,56.4975,3.645,3.645,82.0125,29.16,-,-,-,3.645,Automatic verified (within 99%-101% tolerance).
402,HP ENVY x360 15m Convertible PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08370554,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08370554,HP,notebook,214,72,3.2,5.9,18.6,2.5,3.8,41.9,20.8,0.6,-,-,0.027,154.08,4.93056,9.09072,28.65888,3.852,5.85504,64.55952,32.04864,0.92448,-,-,4.16016,Automatic verified (within 99%-101% tolerance).
403,HP 290 G4 PCI Microtower PC (ENERGY STAR),https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524698,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524698,HP,desktop,550,31,9,12,17,9,-,46,-,1,-,0.02,0.04,170.5,15.345,20.46,28.985,15.345,-,78.43,-,1.705,-,3.41,6.82,Automatic verified (within 99%-101% tolerance).
404,HP Laptop 14-gr PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08676419,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08676419,HP,notebook,235,73,3,-,17,2,3,56,17,0.3,-,-,0.02,171.55,5.1465,-,29.1635,3.431,5.1465,96.068,29.1635,0.51465,-,-,3.431,Automatic verified (within 99%-101% tolerance).
405,Victus by HP Gaming Laptop 16-r ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08554049,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08554049,HP,notebook,430,79,1.7,-,33.3,3.9,2.3,45.9,10.1,0.2,-,-,0.026,339.7,5.7749,-,113.1201,13.2483,7.8131,155.9223,34.3097,0.6794,-,-,8.8322,Automatic verified (within 99%-101% tolerance).
406,"EliteBook 840, 846 G5",https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524978,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524978,HP,notebook,220,66,6,-,20,3,3,45,20,-,-,-,0.02,145.2,8.712,-,29.04,4.356,4.356,65.34,29.04,-,-,-,2.904,Automatic verified (within 99%-101% tolerance).
407,HP Pavilion 27 inch All-in-One Desktop PC 27-ca,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07809894,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07809894,HP,desktop,445,55,11,-,23.1,3,-,23.8,32.6,1.7,-,-,0.034,244.75,26.9225,-,56.53725,7.3425,-,58.2505,79.7885,4.16075,-,-,8.3215,Manually verified (out of 99%-101% tolerance)
408,HP M24fwa FHD Monitor,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08754172,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08754172,HP,monitor,215,49,3,-,-,2,-,35,55,2,-,-,0.03,105.35,3.1605,-,-,2.107,-,36.8725,57.9425,2.107,-,-,3.1605,Automatic verified (within 99%-101% tolerance).
409,HP Dragonfly Pro 2-in-1/ONE (ENERGY STAR),https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08626163,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08626163,HP,notebook,597,89,4,-,20.8,1,1.3,63.4,5.4,0.3,-,-,0.039,531.33,21.2532,-,110.51664,5.3133,6.90729,336.86322,28.69182,1.59399,-,-,20.72187,Automatic verified (within 99%-101% tolerance).
410,HP Z2 Mini G9 Workstation Desktop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08417693,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08417693,HP,workstation,597,62,6.3,-,60.1,3.6,-,26.4,-,0.4,-,0.012,0.02,370.14,23.31882,-,222.45414,13.32504,-,97.71696,-,1.48056,-,4.44168,7.4028,Automatic verified (within 99%-101% tolerance).
411,HP E32k G5 4K USB-C Monitor,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08504419,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08504419,HP,monitor,417,43,15.3,-,-,0.3,-,26.8,52.3,2.2,-,-,0.03,179.31,27.43443,-,-,0.53793,-,48.05508,93.77913,3.94482,-,-,5.3793,Automatic verified (within 99%-101% tolerance).
412,HP ProDesk 480 G7 PCI Microtower PC (ENERGY STAR),https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524590,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524590,HP,desktop,400,56,8,6,25,7,-,48,-,1,-,0.02,0.03,224,17.92,13.44,56,15.68,-,107.52,-,2.24,-,4.48,6.72,Automatic verified (within 99%-101% tolerance).
413,HP V27c G5 FHD Curved Monitor,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08362000,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08362000,HP,monitor,253,42,6.1,-,-,9.4,-,5.9,72.5,2.5,-,-,0.037,106.26,6.48186,-,-,9.98844,-,6.26934,77.0385,2.6565,-,-,3.93162,Automatic verified (within 99%-101% tolerance).
414,"HP E230t 23"" Display",https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08060116,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08060116,HP,monitor,260,39,18.4,-,-,10.1,-,9.9,55.7,2.4,-,-,0.035,101.4,18.6576,-,-,10.2414,-,10.0386,56.4798,2.4336,-,-,3.549,Manually verified (out of 99%-101% tolerance)
415,HP Pavilion x360 11 Convertible PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08383254,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08383254,HP,notebook,160,74,2.5,-,24.3,2.7,3.4,44.1,20.4,0.3,-,-,0.023,118.4,2.96,-,28.7712,3.1968,4.0256,52.2144,24.1536,0.3552,-,-,2.7232,Automatic verified (within 99%-101% tolerance).
416,HP Elite SFF 800 G9 Desktop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08170566,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08170566,HP,desktop,643,59,5.1,3.5,58,3.4,-,26.2,-,0.5,-,0.01,0.018,379.37,19.34787,13.27795,220.0346,12.89858,-,99.39494,-,1.89685,-,3.7937,6.82866,Automatic verified (within 99%-101% tolerance).
417,HP Laptop 15-fc ENERGY STAR /HP Laptop 15-kr ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08488403,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08488403,HP,notebook,202,77,4.5,-,36.9,2.1,2.8,30.5,20.8,0.4,-,-,0.021,155.54,6.9993,-,57.39426,3.26634,4.35512,47.4397,32.35232,0.62216,-,-,3.26634,Automatic verified (within 99%-101% tolerance).
418,HP Stream 11 Laptop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08390340,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08390340,HP,notebook,114,74,5.7,-,9,4.6,4.7,44.1,28.5,0.6,-,-,0.027,84.36,4.80852,-,7.5924,3.88056,3.96492,37.20276,24.0426,0.50616,-,-,2.27772,Automatic verified (within 99%-101% tolerance).
419,HP ENVY 34 inch All-in-One Desktop PC 34-c,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07786471,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07786471,HP,monitor,692,53,11.6,-,15.4,3.4,-,33.8,29.4,1.6,-,0.011,0.036,366.76,42.54416,-,56.48104,12.46984,-,123.96488,107.82744,5.86816,-,4.03436,13.20336,Automatic verified (within 99%-101% tolerance).
420,OMEN 27k UHD 144Hz Gaming Monitor,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08571234,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08571234,HP,monitor,505,36,10.7,-,-,0.9,-,43.7,39.9,1.8,-,-,0.03,181.8,19.4526,-,-,1.6362,-,79.4466,72.5382,3.2724,-,-,5.454,Automatic verified (within 99%-101% tolerance).
421,HP Chromebook x360 13c ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08759521,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08759521,HP,notebook,185,77,7,-,20,3,3,45,19,-,-,-,0.02,142.45,9.9715,-,28.49,4.2735,4.2735,64.1025,27.0655,-,-,-,2.849,Automatic verified (within 99%-101% tolerance).
422,HP Laptop 14-em ENERGY STAR / HP Laptop 14-hr ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08478145,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08478145,HP,notebook,241,83,2.9,-,28.5,1.9,2.1,48.4,14.4,0.3,-,-,0.015,200.03,5.80087,-,57.00855,3.80057,4.20063,96.81452,28.80432,0.60009,-,-,3.00045,Automatic verified (within 99%-101% tolerance).
423,HP ProDesk 405 G6 Desktop Mini PC (ENERGY STAR),https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524608,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524608,HP,desktop,370,66,2,-,24,2,-,68,-,-,-,0.02,0.02,244.2,4.884,-,58.608,4.884,-,166.056,-,-,-,4.884,4.884,Automatic verified (within 99%-101% tolerance).
424,HP Pro Tower 480 G9 PCI Desktop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08295357,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08295357,HP,desktop,841,65,3.6,15.6,40.2,2.3,-,35.6,-,0.5,-,0.007,0.016,546.65,19.6794,85.2774,219.7533,12.57295,-,194.6074,-,2.73325,-,3.82655,8.7464,Automatic verified (within 99%-101% tolerance).
425,HP E24 G5 FHD Monitor No Stand,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08496369,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08496369,HP,monitor,231,57,4.7,-,-,1.1,-,42,48,1.8,-,-,0.025,131.67,6.18849,-,-,1.44837,-,55.3014,63.2016,2.37006,-,-,3.29175,Automatic verified (within 99%-101% tolerance).
426,HP P24a G4,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07787115,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07787115,HP,monitor,228,46,13.9,-,-,8.9,-,11.7,59.5,2.2,-,-,0.038,104.88,14.57832,-,-,9.33432,-,12.27096,62.4036,2.30736,-,-,3.98544,Automatic verified (within 99%-101% tolerance).
427,OMEN 30L GT13 Desktop PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08754889,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08754889,HP,desktop,610,35,19,-,27,9,-,37,-,1,-,0.02,0.04,213.5,40.565,-,57.645,19.215,-,78.995,-,2.135,-,4.27,8.54,Automatic verified (within 99%-101% tolerance).
428,HP Pro Tower 290 G9 PCI Desktop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08398274,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08398274,HP,desktop,410,53,7.6,7.1,13.2,7.3,-,58.2,-,1.2,-,0.017,0.037,217.3,16.5148,15.4283,28.6836,15.8629,-,126.4686,-,2.6076,-,3.6941,8.0401,Automatic verified (within 99%-101% tolerance).
429,HP 285 G6 Microtower PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524620,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524620,HP,desktop,490,39,8,7,15,6,-,56,-,1,0.01,0.02,0.04,191.1,15.288,13.377,28.665,11.466,-,107.016,-,1.911,1.911,3.822,7.644,Automatic verified (within 99%-101% tolerance).
430,HP ZBook Power 15.6 inch G10 A Mobile Workstation PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08710449,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08710449,HP,notebook,270,67,8,-,32,5,4,31,18,-,-,-,0.02,180.9,14.472,-,57.888,9.045,7.236,56.079,32.562,-,-,-,3.618,Automatic verified (within 99%-101% tolerance).
431,HP 27-inch All-in-One,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08542656,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08542656,HP,desktop,343,61,10,-,14,3,-,29,37,2,-,0.02,0.03,209.23,20.923,-,29.2922,6.2769,-,60.6767,77.4151,4.1846,-,4.1846,6.2769,Automatic verified (within 99%-101% tolerance).
432,HP MP9 G4 Retail System,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08390341,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08390341,HP,desktop,245,56,2.8,2.2,41.5,2.8,-,43.7,-,0.3,-,0.031,0.035,137.2,3.8416,3.0184,56.938,3.8416,-,59.9564,-,0.4116,-,4.2532,4.802,Automatic verified (within 99%-101% tolerance).
433,HP M24fw FHD Monitor,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08754173,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08754173,HP,monitor,215,49,3,-,-,1,-,35,55,2,-,-,0.03,105.35,3.1605,-,-,1.0535,-,36.8725,57.9425,2.107,-,-,3.1605,Automatic verified (within 99%-101% tolerance).
434,HP ProOne 440 23.8 inch G9 All-in-One Desktop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08207993,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08207993,HP,desktop,433,64,5.2,-,30.6,4.8,-,31.4,22.7,1.1,-,0.012,0.03,277.12,14.41024,-,84.79872,13.30176,-,87.01568,62.90624,3.04832,-,3.32544,8.3136,Automatic verified (within 99%-101% tolerance).
435,EliteBook 840 Aero G8,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525170,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525170,HP,notebook,170,79,11,-,22,3,4,36,22,1,-,-,0.02,134.3,14.773,-,29.546,4.029,5.372,48.348,29.546,1.343,-,-,2.686,Automatic verified (within 99%-101% tolerance).
436,HP V24v G5,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08398212,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08398212,HP,monitor,189,45,4.5,-,-,8.9,-,6.2,73,3.9,-,-,0.035,85.05,3.82725,-,-,7.56945,-,5.2731,62.0865,3.31695,-,-,2.97675,Automatic verified (within 99%-101% tolerance).
437,HP Desktop Pro 300 G6 Microtower PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524629,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524629,HP,desktop,560,46,6,8,22,4,-,54,-,1,0.01,0.01,0.03,257.6,15.456,20.608,56.672,10.304,-,139.104,-,2.576,2.576,2.576,7.728,Automatic verified (within 99%-101% tolerance).
438,HP Fortis 14” G10 Chromebook,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08078070,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08078070,HP,notebook,167,73,5.6,-,11.9,2.6,4.3,49.7,23.3,0.4,-,-,0.02,121.91,6.82696,-,14.50729,3.16966,5.24213,60.58927,28.40503,0.48764,-,-,2.4382,Automatic verified (within 99%-101% tolerance).
439,HP E27 G5 FHD Monitor,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08480912,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08480912,HP,monitor,276,51,14.7,-,-,1,-,21.3,57.6,2.2,-,-,0.032,140.76,20.69172,-,-,1.4076,-,29.98188,81.07776,3.09672,-,-,4.50432,Automatic verified (within 99%-101% tolerance).
440,HP Elite SFF 600 G9 Desktop PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08155358,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08155358,HP,desktop,477,45,9,-,26.6,6,-,52.7,-,0.9,-,0.017,0.03,214.65,19.3185,-,57.0969,12.879,-,113.12055,-,1.93185,-,3.64905,6.4395,Automatic verified (within 99%-101% tolerance).
441,Latitude 3150,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3150.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3150.pdf,Dell,Laptop,216,77,5.8,4.3,-,9.8,3,18.6,35.1,0.4,166.32,12.528,9.288,-,21.168,6.48,40.176,75.816,0.864,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
442,Latitude 3160,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3160.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3160.pdf,Dell,Laptop,244,67.7,5.2,3.8,-,8.6,2.7,16.3,30.7,0.4,165.188,12.688,9.272,-,20.984,6.588,39.772,74.908,0.976,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
443,Latitude 3180,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3180.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3180.pdf,Dell,Laptop,243,85.9,3.1,-,21.1,7.1,2.2,26.5,25.6,0.3,208.737,7.533,-,51.273,17.253,5.346,64.395,62.208,0.729,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
444,Latitude 3190,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3190.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3190.pdf,Dell,Laptop,226,83.6,4.2,-,15.2,8.3,2.5,23.6,29.6,0.3,188.936,9.492,-,34.352,18.758,5.65,53.336,66.896,0.678,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
445,Latitude 3189,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3189.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3189.pdf,Dell,Laptop,257,83,5.1,3.6,-,8.2,2.5,33.9,29.4,0.3,213.31,13.107,9.252,-,21.074,6.425,87.123,75.558,0.771,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
446,Latitude 3190 2-in-1,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3190-2.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3190-2.pdf,Dell,Laptop,230,82.3,4.1,-,14.9,8.1,2.5,23.2,29.2,0.3,189.29,9.43,-,34.27,18.63,5.75,53.36,67.16,0.69,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
447,Latitude 3350,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3350.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3350.pdf,Dell,Laptop,258,76.5,5,3.6,-,8.2,3.1,20.6,35.6,0.4,197.37,12.9,9.288,-,21.156,7.998,53.148,91.848,1.032,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
448,Latitude 3380,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3380.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3380.pdf,Dell,Laptop,252,75.8,5.1,3.6,-,8.4,3.2,16.9,38.2,0.4,191.016,12.852,9.072,-,21.168,8.064,42.588,96.264,1.008,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
449,Latitude 3460,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3460.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3460.pdf,Dell,Laptop,279,79.1,5.1,3.3,-,7.5,2.9,28,31.9,0.4,220.689,14.229,9.207,-,20.925,8.091,78.12,89.001,1.116,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
450,Latitude 3470,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3470.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3470.pdf,Dell,Laptop,286,78.8,4.9,3.2,-,7.3,2.8,28.1,33.1,0.4,225.368,14.014,9.152,-,20.878,8.008,80.366,94.666,1.144,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
451,Latitude 3480,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3480.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3480.pdf,Dell,Laptop,324,70.7,4.7,2.8,-,6.5,2.5,24.9,29.1,0.3,229.068,15.228,9.072,-,21.06,8.1,80.676,94.284,0.972,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
452,Latitude 3490,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3490.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3490.pdf,Dell,Laptop,243,76.5,3.9,-,14.2,7.8,2.4,14,33.8,0.3,185.895,9.477,-,34.506,18.954,5.832,34.02,82.134,0.729,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
453,Latitude 3550,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3550.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3550.pdf,Dell,Laptop,263,81.8,5.6,3.5,-,8,2.5,21.2,40.4,0.6,215.134,14.728,9.205,-,21.04,6.575,55.756,106.252,1.578,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
454,Latitude 3560,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3560.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3560.pdf,Dell,Laptop,298,79.9,4.9,3.1,-,7.1,2.7,26.2,35.6,0.4,238.102,14.602,9.238,-,21.158,8.046,78.076,106.088,1.192,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
455,Latitude 3570,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3570.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3570.pdf,Dell,Laptop,302,79.7,4.8,3,-,7,2.7,26.6,35.2,0.4,240.694,14.496,9.06,-,21.14,8.154,80.332,106.304,1.208,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
456,Latitude 3580,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3580.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3580.pdf,Dell,Laptop,311,69.3,5,2.9,-,6.8,2.6,25.8,25.8,0.4,215.523,15.55,9.019,-,21.148,8.086,80.238,80.238,1.244,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
457,Latitude 3590,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3590.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-3590.pdf,Dell,Laptop,254,76.6,4,-,13.6,7.4,2.8,13.5,34.9,0.4,194.564,10.16,-,34.544,18.796,7.112,34.29,88.646,1.016,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
458,Latitude 5250,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-5250.pdf,https://web.archive.org/web/*/https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-latitude-5250.pdf,Dell,Laptop,235,77.4,5.8,3.9,-,9,2.8,17.3,38.2,0.4,181.89,13.63,9.165,-,21.15,6.58,40.655,89.77,0.94,-,-,-,-,-,-,Automatic verified (within 99%-101% tolerance).
